GEO_NAME_SHORT,RATE_PER_100000_N
Tonga,8.5
Jamaica,17.8
Greece,7.3
Malawi,20.2
Bahrain,8.1
Iraq,21.5
Nigeria,17.2
Ukraine,10.5
Uruguay,13
Madagascar,22.5
Netherlands,3.4
Turkmenistan,8
Chile,10.3
Serbia,7.4
Myanmar,19.3
Egypt,9.4
South Africa,24.5
Morocco,18.6
Denmark,2.3
Latvia,9.8
Monaco,0
Saint Vincent and the Grenadines,4.8
Kazakhstan,12.2
Cabo Verde,16.5
Costa Rica,15.5
South-East Asia,16.1
Finland,4.2
Grenada,6.4
Cuba,5.4
Nauru,8
Paraguay,21
Ethiopia,17.7
Mauritania,9.5
Venezuela (Bolivarian Republic of),13.2
Belize,17.5
"occupied Palestinian territory, including east Jerusalem",4.7
Niger,24.9
Central African Republic,25.9
Namibia,22
Uzbekistan,9.3
Kyrgyzstan,13.3
Antigua and Barbuda,7.5
Ecuador,23.4
India,14.6
Bosnia and Herzegovina,13.7
Syrian Arab Republic,29.9
Senegal,20.8
Singapore,1.9
United Republic of Tanzania,15.8
Guyana,15.2
Brunei Darussalam,3.6
Thailand,25.4
Botswana,16.5
Spain,3.5
Angola,15
Fiji,5.3
Russian Federation,10.6
Japan,2.7
Lesotho,21.6
Qatar,7.3
Malaysia,13.9
Samoa,9.6
Western Pacific,15.2
Germany,3.3
Bulgaria,8.4
World,15
Rwanda,11.6
Uganda,16
Haiti,31.3
Maldives,1.3
Armenia,13.6
Poland,6.5
Argentina,8.8
Tunisia,16.3
Saudi Arabia,18.5
Slovakia,6.4
Brazil,15.7
Libya,34
Republic of Moldova,9.1
Sierra Leone,13.8
Africa,19.4
Seychelles,6.6
Pakistan,11.9
Chad,26.4
Burundi,12.3
Austria,4.6
Mozambique,20.1
Vanuatu,12.5
Saint Kitts and Nevis,23.1
Micronesia (Federated States of),14.1
United Arab Emirates,5.9
Côte d'Ivoire,20.6
Nicaragua,13.6
Democratic Republic of the Congo,16.3
Dominica,11
Iran (Islamic Republic of),20.6
United States of America,14.2
Trinidad and Tobago,5
Mexico,12
Eritrea,17.7
Suriname,16.2
Honduras,18.5
Sweden,2.1
Eswatini,24.7
El Salvador,21.5
Equatorial Guinea,11.7
Guinea,37.4
Algeria,18.3
Tajikistan,13.9
Saint Lucia,8.9
Peru,12.7
Cook Islands,17.6
Estonia,4.4
Barbados,10
Eastern Mediterranean,16.4
Croatia,8.1
Ghana,25.9
Afghanistan,24.1
China,17.4
Somalia,20.2
Indonesia,11.3
"China, Macao SAR",
Marshall Islands,11.9
Viet Nam,17.7
Czechia,5.2
Andorra,2.5
Lithuania,6.3
Kenya,28.2
Georgia,12.7
Switzerland,2.4
Palau,22.2
Ireland,2.8
Luxembourg,3.9
Dominican Republic,27.4
Belarus,7.4
Yemen,29.8
Iceland,2.4
Philippines,9.7
Israel,4.2
Bolivia (Plurinational State of),17.6
Jordan,13.6
Colombia,16.2
Panama,7.3
Albania,10.8
Bahamas,16.2
Americas,14.1
Mauritius,9.7
Comoros,29
Liberia,15.3
Cambodia,18.8
Canada,4.7
Zambia,17.1
Togo,22.7
"China, Hong Kong SAR",
Burkina Faso,27.8
Hungary,7.4
Bangladesh,18.6
Djibouti,23.3
Oman,11
Norway,1.5
Solomon Islands,11.2
Australia,4.5
North Macedonia,5.7
Sao Tome and Principe,11.7
Tuvalu,17.9
Papua New Guinea,14.9
Malta,1.9
Lebanon,9.7
South Sudan,23.3
Guatemala,12.6
Puerto Rico,12.5
New Zealand,6.6
Montenegro,9.1
Sudan,19.6
Gabon,12.5
Republic of Korea,6.9
Benin,24.8
Slovenia,5.8
France,4.7
Zimbabwe,29.9
United Kingdom of Great Britain and Northern Ireland,2.4
Mali,20.2
Gambia,22
Sri Lanka,11.5
Niue,0
Bhutan,12.2
Timor-Leste,12
Romania,9.6
Congo,8.4
Cyprus,3.9
Mongolia,12.4
Lao People's Democratic Republic,16.4
Belgium,4.6
Europe,6.7
Nepal,28.2
Azerbaijan,17.2
Portugal,7.2
Kiribati,6.2
San Marino,5.9
Guinea-Bissau,30.5
Türkiye,6.5
Kuwait,9.2
Italy,5
Cameroon,10.6
